epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.7404,1.00145,2.3975,1.27536,0.87608,0.8529,0.92383,0.71554,0.69376,1.24785,1.09044,0.000368374,0.000368374,0.000368374
2,141.536,1.06487,1.48765,1.28195,0.8697,0.87438,0.92488,0.71579,0.73082,0.85614,1.10891,0.000702141,0.000702141,0.000702141
3,206.248,1.03688,1.19393,1.25684,0.89056,0.87353,0.93308,0.71715,0.73715,0.79396,1.07851,0.000999246,0.000999246,0.000999246
4,270.703,1.02389,1.02677,1.2487,0.91763,0.91814,0.96229,0.75564,0.71887,0.58743,1.11007,0.000946016,0.000946016,0.000946016
5,334.721,0.96572,0.96235,1.21532,0.89987,0.86075,0.93175,0.7475,0.66966,0.65732,1.05895,0.000891022,0.000891022,0.000891022
6,398.384,0.92826,0.8465,1.19816,0.93934,0.93387,0.97296,0.82477,0.55607,0.51498,0.98804,0.000836027,0.000836027,0.000836027
7,461.776,0.86997,0.83509,1.15806,0.96213,0.9711,0.98943,0.86937,0.48641,0.39688,0.95208,0.000781033,0.000781033,0.000781033
8,525.713,0.83818,0.72829,1.15273,0.95538,0.94716,0.97871,0.84724,0.51412,0.46234,0.97192,0.000726038,0.000726038,0.000726038
9,589.812,0.80807,0.69367,1.13212,0.96465,0.94307,0.97661,0.88233,0.43946,0.38579,0.92856,0.000671044,0.000671044,0.000671044
10,653.865,0.78212,0.66771,1.12319,0.98184,0.98571,0.99355,0.90694,0.42467,0.32208,0.90734,0.000616049,0.000616049,0.000616049
11,754.334,0.55055,0.43829,1.00838,0.98179,0.98567,0.99194,0.91382,0.40083,0.30703,0.89809,0.000561055,0.000561055,0.000561055
12,818.189,0.52017,0.39866,0.98964,0.92866,0.90414,0.9475,0.80148,0.58113,0.50402,1.04824,0.00050606,0.00050606,0.00050606
13,882.442,0.52857,0.39512,0.98681,0.98542,0.98829,0.99376,0.93428,0.34367,0.27137,0.8713,0.000451066,0.000451066,0.000451066
14,946.438,0.48198,0.35273,0.97204,0.99056,0.99236,0.99378,0.9323,0.35711,0.25913,0.86738,0.000396071,0.000396071,0.000396071
15,1009.92,0.45577,0.33567,0.95377,0.99474,0.99568,0.99443,0.95495,0.30347,0.23151,0.84532,0.000341077,0.000341077,0.000341077
16,1073.69,0.43324,0.31487,0.94366,0.99173,0.996,0.99411,0.95825,0.294,0.21473,0.84406,0.000286083,0.000286083,0.000286083
17,1137.27,0.41838,0.29676,0.93495,0.99413,0.99568,0.99449,0.96097,0.2868,0.20881,0.83453,0.000231088,0.000231088,0.000231088
18,1201.27,0.38197,0.28232,0.90802,0.99333,0.99634,0.99472,0.9674,0.26097,0.19782,0.82966,0.000176094,0.000176094,0.000176094
19,1265.24,0.37316,0.26601,0.90694,0.99557,0.99668,0.99455,0.97142,0.24951,0.18429,0.82501,0.000121099,0.000121099,0.000121099
20,1329.04,0.36385,0.25979,0.89842,0.99683,0.99701,0.99484,0.97421,0.24148,0.17382,0.8201,6.61045e-05,6.61045e-05,6.61045e-05
